,Unnamed: 0,program_name,program_level,domain,eligibility,description,skills_learned,career_outcomes,eligibility_struct
54,54,Certificate Course in Introduction to Indian Logic,Certificate,Humanities,"Senior Secondary Examination (10+2) with at least 50% marks, 47.50% for SC/ST/Blind/Visually/Differently abled candidates of Haryana only, from Board of School Education Haryana, Bhiwani or any other examination recognized by MDU, Rohtak as equivalent thereto","This program introduces students to the foundational concepts and principles of Indian logic, enhancing their understanding of philosophical reasoning and critical thinking.","['Logical reasoning', 'Critical analysis', 'Philosophical inquiry']","['Academic researcher', 'Educational consultant', 'Policy analyst']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
55,55,Certificate Course in Philosophy of Dayanand,Certificate,Humanities,"Senior Secondary Examination (10+2) with at least 50% marks, or 47.50% for reserved categories from Haryana only.","This program explores the philosophical ideas and principles of Dayanand, focusing on ethical reasoning and critical thinking skills.","['Critical thinking', 'Ethical analysis', 'Philosophical inquiry']","['Academic researcher', 'Policy analyst', 'Social worker']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
56,56,PG Diploma in Intellectual Property Rights,Diploma,Law,"Bachelor's Degree with at least 45% marks (42.75% for reserved categories) or equivalent from MDU, Rohtak.","This program focuses on the legal aspects of intellectual property rights, including patents, trademarks, and copyrights. Students will learn about protection, enforcement, and management of IP assets.","['IP law', 'Patent analysis', 'Trademark registration', 'Copyright protection']","['IP lawyer', 'Intellectual property officer', 'IP consultant']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
57,57,Certificate Course in Biometric Identification,Certificate,Science,"Bachelor's Degree in B.Sc/M.Sc/Forensic Science/Life Science/Bio-medical Sciences with at least 45% marks, 42.75% for SC/ST/Blind/Visually/Differently abled candidates of Haryana only.","This program focuses on biometric technologies and their applications in identification and security. Students learn about various biometric modalities such as fingerprint, iris, and facial recognition systems.","['Biometric analysis', 'Security protocols', 'Data encryption']","['Biometric specialist', 'Security analyst', 'Forensic technician']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
58,58,Certificate Course in Communication Skills,Certificate,Interdisciplinary Studies,"Senior Secondary Examination (10+2) with at least 50% marks, 47.50% for SC/ST/Blind/Visually/Differently abled candidates of Haryana only from Board of School Education Haryana, Bhiwani or any other examination recognized by MDU, Rohtak as equivalent thereto",This program focuses on enhancing communication skills through theoretical and practical modules. Students learn effective verbal and non-verbal communication techniques applicable in various professional settings.,"['Effective speaking', 'Active listening', 'Public speaking', 'Written communication']","['Customer service representative', 'Sales executive', 'Corporate trainer']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
59,59,Certificate Course in Professional Skills,Certificate,Interdisciplinary Studies,"Senior Secondary Examination (10+2) with at least 50% marks from Board of School Education Haryana, Bhiwani or any other recognized examination.","This program equips students with essential professional skills including communication, project management, and teamwork. It provides a foundational understanding for various career paths in the corporate sector.","['Communication', 'Project Management', 'Teamwork']","['Business Analyst', 'HR Executive', 'Marketing Coordinator']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=None
60,60,Certificate Course in Leadership and Management Skills,Certificate,Management,"Senior Secondary Examination (10+2) with at least 50% marks, 47.50% for SC/ST/Blind/Visually/Differently abled candidates of Haryana only.",This program focuses on developing essential leadership and management skills through practical case studies and real-world scenarios.,"['Leadership', 'Team Management', 'Strategic Planning']","['Business Analyst', 'Project Coordinator']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
61,61,Certificate Course in Universal Human Values,Certificate,Interdisciplinary Studies,"Senior Secondary Examination (10+2) with at least 50% marks, 47.50% for reserved categories from Haryana only.","This certificate program explores fundamental human values and ethics across various disciplines, fostering personal growth and social responsibility.","['Ethical reasoning', 'Interpersonal skills', 'Critical thinking']","['Community development worker', 'Moral education facilitator']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
62,62,Certificate Course in 3D-Printing and Design,Certificate,Engineering,Senior Secondary Examination (10+2) with at least 50% marks (47.50% for reserved categories) from Haryana Board of School Education or equivalent.,"This program covers the fundamentals of 3D-printing and design, including software tools, material science, and practical applications in engineering and manufacturing.","['CAD modeling', 'Material selection', 'Print setup']","['Product designer', 'Prototyping specialist', 'Manufacturing engineer']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
63,63,Certificate Course in MATLAB,Certificate,Engineering,"Senior Secondary Examination (10+2) with at least 50% marks (47.50% for SC/ST/Blind/Visually/Differently abled candidates of Haryana only) from Board of School Education Haryana, Bhiwani or any other examination recognized by MDU, Rohtak as equivalent thereto.","This program focuses on mastering MATLAB software and its applications in engineering problems. Students learn programming techniques, numerical methods, and data analysis for technical problem-solving.","['Programming', 'Data analysis', 'Numerical methods']","['Software developer', 'Technical analyst', 'Research assistant']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
64,64,Certificate Course in AI and ML in Pharmaceutical Sciences,Certificate,Pharmacy,"Senior Secondary Examination (10+2) with at least 50% marks (47.50% for SC/ST/Blind candidates of Haryana only) from Board of School Education Haryana, Bhiwani or any other examination recognized by MDU, Rohtak as equivalent thereto.","This program focuses on the application of artificial intelligence and machine learning in pharmaceutical sciences, covering drug discovery, clinical trials, and personalized medicine.","['Data analysis', 'Algorithm development', 'Pharmaceutical informatics']","['AI pharmacist', 'Drug safety analyst', 'Biostatistician']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
65,65,Certificate Course in Personal and Social Health Management,Certificate,Pharmacy,"Senior Secondary Examination (10+2) with at least 50% marks (47.50% for reserved categories) from Board of School Education Haryana, Bhiwani or any other recognized equivalent examination.","This program focuses on managing personal and social health issues, integrating public health principles with community well-being strategies.","['Health promotion', 'Community engagement', 'Public policy analysis']","['Health educator', 'Community health worker', 'Social welfare officer']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
66,66,PG Diploma in Drug Regulatory Affairs,Diploma,Pharmacy,"Bachelor's Degree in B. Pharmacy with at least 45% marks (42.75% for reserved categories) in aggregate from an examination recognized by MDU, Rohtak.","This program focuses on regulatory compliance and legal aspects of drug development and marketing. Students learn about global and national regulations, ethical considerations, and quality assurance processes.","['Regulatory compliance', 'Quality assurance', 'Ethical standards']","['Drug regulator', 'Compliance officer', 'Pharmaceutical consultant']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
67,67,Certificate Course in Natural Products for Human Health,Certificate,Pharmacy,Bachelor Degree in any discipline with at least 45% marks (42.75% for SC/ST/Blind/Visually and differently able candidates of Haryana only),"This program explores the therapeutic potential of natural products, focusing on their application in human health through interdisciplinary studies.","['Natural product analysis', 'Pharmacological evaluation', 'Bioprospecting techniques']","['Research associate', 'Product development specialist', 'Clinical research coordinator']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
68,68,Certificate Course in Hospital Food Services and Dietetics,Certificate,Commerce,"Senior Secondary Examination (10+2) with at least 50% marks (47.50% for reserved categories) from Board of School Education Haryana, Bhiwani or equivalent.","This program focuses on the management and nutritional aspects of food services in hospital settings, covering dietetic principles and patient care.","['Nutritional assessment', 'Menu planning', 'Patient care']","['Dietitian', 'Hospital nutritionist', 'Food service manager']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
69,69,Certificate Course on Food Truck Operations,Certificate,Commerce,Senior Secondary Examination (10+2) with at least 50% marks (47.50% for SC/ST/Blind/Visually Differently abled candidates of Haryana only),"This program covers the fundamentals of managing food truck operations, including business planning, marketing strategies, and operational logistics.","['Business management', 'Marketing strategies', 'Operational planning']","['Food truck owner', 'Restaurant manager', 'Event catering coordinator']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
70,70,PG Diploma in Cyber Law,PG,Law,"Bachelor/Master Degree with at least 45% marks (42.75% for SC/ST/Blind/Visually/Differently abled candidates of Haryana only) in aggregate or any other examination recognized by MDU, Rohtak as equivalent thereto","This program focuses on legal aspects of cyber security and digital law, providing insights into regulatory frameworks and ethical considerations.","['Legal research', 'Cybersecurity laws', 'Regulatory compliance']","['Legal advisor', 'Corporate lawyer', 'Cybersecurity consultant']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
71,71,PG Diploma in Labour Law & Social Welfare,Diploma,Law,"Bachelor/Master Degree with at least 45% marks (42.75% for SC/ST/Blind/Visually/Differently abled candidates of Haryana only) in aggregate or any other examination recognized by MDU, Rohtak as equivalent thereto.","This program focuses on labor laws and social welfare policies, providing an understanding of legal frameworks and their application in social contexts.","['Legal research', 'Policy analysis', 'Social advocacy']","['Labour lawyer', 'Human resources manager', 'Social worker']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
72,72,B.A. B.Ed.,UG,Education,Grade 12 students with at least 50% marks (47.5% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only) in aggregate or any other equivalent examination.,"This program combines a Bachelor of Arts degree with a Bachelor of Education, providing foundational knowledge in liberal arts alongside pedagogical skills for teaching.","['Critical thinking', 'Teaching methods', 'Curriculum development']","['School teacher', 'Educational consultant', 'Curriculum developer']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
73,73,B.Com. B.Ed.,UG,Commerce,Grade 12 students with at least 50% marks (47.5% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only) in aggregate or any other equivalent examination.,"This program combines business management studies with teacher education, providing a foundation in commerce while preparing students for teaching roles.","['Business principles', 'Teaching methods', 'Financial analysis']","['Secondary school teacher', 'Educational administrator', 'Corporate trainer']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
74,74,Bachelor of Arts (B.A.),UG,Humanities,A person who has passed one of the following examinations with at least 33% aggregate marks for admission to B.A. Semester I. (minimum pass marks in case of SC/ST candidates of Haryana only),"The Bachelor of Arts program covers a broad range of humanities subjects, including literature, history, philosophy, and languages, providing students with a foundational understanding of human culture and society.","['Critical thinking', 'Research skills', 'Communication', 'Cultural awareness']","['Teacher', 'Content writer', 'Journalist']",min_degree_level='PreUG' min_marks_general=33.0 min_marks_reserved=None
75,75,Bachelor of Commerce (B.Com.),UG,Commerce,A person who has passed the Senior Secondary Certificate Examination or an equivalent examination with at least 40% marks.,"This program focuses on core business and economic principles, accounting, finance, marketing, and management. Students gain a broad understanding of commercial operations and financial systems.","['Financial analysis', 'Marketing strategies', 'Accounting practices', 'Economic theories']","['Financial analyst', 'Market research analyst', 'Accountant', 'Management consultant']",min_degree_level='PreUG' min_marks_general=40.0 min_marks_reserved=None
76,76,Master of Arts Hindi,PG,Humanities,Bachelor's Degree in any discipline with at least 45% marks (42.75% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only),"This program delves into the rich literary, linguistic, and cultural heritage of Hindi. Students explore classical and modern texts, grammar, and literature.","['Language proficiency', 'Literary analysis', 'Cultural studies']","['Hindi teacher', 'Content writer', 'Research scholar']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
77,77,Master of Arts Sanskrit,PG,Humanities,Bachelor's degree with Sanskrit (elective/compulsory) for at least 3 years or Shastri Examination (New Scheme) of three years duration with at least 45% marks (42.75% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only),"This program delves into the rich history, literature, and linguistic nuances of Sanskrit, providing a comprehensive understanding of classical Indian culture and language.","['Sanskrit linguistics', 'Classical literature analysis', 'Cultural heritage studies']","['Academic researcher', 'Language instructor', 'Cultural conservator']",min_degree_level='UG' min_marks_general=None min_marks_reserved=45.0
78,78,Master of Arts English,PG,Humanities,Bachelor's Degree in any discipline with at least 45% marks (42.75% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only),"This program delves into advanced literary analysis, critical theory, and creative writing, providing a comprehensive understanding of English literature and language.","['Critical thinking', 'Literary analysis', 'Creative writing']","['Academic researcher', 'English teacher', 'Content writer']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
79,79,Master of Arts Political Science,PG,Social Sciences,Bachelor's Degree in any discipline with at least 45% marks (42.75% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only),"This program delves into political theory, international relations, and public policy, providing a comprehensive understanding of governance and politics.","['Critical thinking', 'Policy analysis', 'Research skills']","['Political analyst', 'Government officer', 'Non-profit manager']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
80,80,Master of Arts Public Admisnistration,PG,Management,Bachelor's Degree in any discipline with at least 45% marks (42.75% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only),"This program focuses on public administration principles, policy analysis, governance, and management techniques.","['Policy formulation', 'Leadership skills', 'Administrative practices']","['Public sector manager', 'Government officer', 'Non-profit administrator']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
81,81,Master of Arts Economics,PG,Commerce,Bachelor's Degree in any discipline with at least 45% marks (42.75% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only),"This program delves into advanced economic theories, econometrics, and policy analysis, providing a comprehensive understanding of macroeconomic and microeconomic principles.","['Econometric modeling', 'Policy evaluation', 'Quantitative analysis']","['Economic analyst', 'Financial consultant', 'Data scientist']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
82,82,Master of Arts History,PG,Humanities,Bachelor's Degree in any discipline with at least 45% marks (42.75% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only),"This program delves into historical analysis, methodologies, and critical thinking, providing a comprehensive understanding of past events and their impacts.","['Historical research', 'Critical analysis', 'Academic writing']","['Archivist', 'Museum curator', 'History teacher']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
83,83,Master of Arts Journalism & Mass Communication,PG,Commerce,"Bachelor's Degree in any discipline with at least 45% marks (42.75% for reserved categories) or equivalent examination recognized by M.D. University, Rohtak.","This program focuses on the theoretical and practical aspects of journalism and mass communication, covering areas such as media ethics, content creation, and digital communications.","['Content writing', 'Media analysis', 'Digital marketing']","['Journalist', 'Public relations officer', 'Social media manager']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
84,84,Master of Commerce (M.Com.),PG,Commerce,"B.Com./BBA/BTM/BIM or relevant BA/BS with Economics/Mathematics and 45% marks, SC/ST/Blind/Visually and Differently Abled candidates of Haryana require 42.75% marks","This program focuses on advanced business management, financial analysis, and strategic marketing. Students explore complex economic theories and practical business applications.","['Financial analysis', 'Market research', 'Business strategy']","['Financial analyst', 'Marketing executive', 'Corporate accountant']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
85,85,Master of Science (Mathematics),PG,Science,"B.A./B.Sc. (Hons.) in Mathematics or B.A. or B.Sc. with Mathematics as one of the subjects, at least 50% marks (47.5% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only)","This program delves into advanced mathematical theories and applications, preparing students for research or professional careers in academia and industry.","['Theoretical analysis', 'Problem-solving techniques', 'Statistical methods']","['Academic researcher', 'Data analyst', 'Quantitative analyst']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
86,86,Master of Library and Information Science,PG,Education,Bachelor's degree in any discipline with at least 45% marks (42.75% for reserved categories) from a UGC-recognized university.,"This program focuses on the management, organization, and utilization of information resources in libraries and other information centers. Students learn about information retrieval systems, digital library technologies, and user experience design.","['Information management', 'Digital curation', 'User experience']","['Librarian', 'Information specialist', 'Knowledge manager']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
87,87,Master of Commerce (M.Com.),PG,Commerce,B.Com./BBA/BTM/BIM or relevant BA/BS with Economics/Mathematics and 45% marks (42.75% for reserved categories in Haryana).,"This program focuses on advanced business management, financial analysis, and strategic marketing. Students explore complex economic theories and practical business applications.","['Financial modeling', 'Market research', 'Corporate finance']","['Financial analyst', 'Business consultant', 'Investment banker']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
88,88,Master of Science (Mathematics),PG,Science,"B.A./B.Sc. (Hons.) in Mathematics or B.A./B.Sc. with Mathematics as one of the subjects, at least 50% marks (47.5% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only)","This program delves into advanced mathematical theories and applications, preparing students for research or professional roles in academia and industry.","['Theoretical analysis', 'Problem-solving techniques', 'Statistical methods']","['Mathematician', 'Data analyst', 'Academic researcher']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
89,89,Bachelor of Arts,UG,Humanities,A person who has passed one of the following examinations with at least 33% aggregate marks for admission to B.A. Semester I (minimum pass marks in case of SC/ST candidates of Haryana only).,"This program covers a broad range of humanities subjects, providing students with foundational knowledge in literature, history, philosophy, and languages.","['Critical thinking', 'Research skills', 'Communication', 'Cultural awareness']","['Content writer', 'Journalist', 'Social worker']",min_degree_level='PreUG' min_marks_general=33.0 min_marks_reserved=33.0
90,90,Master of Arts Hindi,PG,Humanities,Bachelor's Degree in any discipline with at least 45% marks (42.75% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only),"This program delves into the rich literary, linguistic, and cultural heritage of Hindi language and literature, offering a comprehensive understanding of its historical evolution and contemporary applications.","['Language proficiency', 'Literary analysis', 'Cultural studies']","['Hindi teacher', 'Content writer', 'Research scholar']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
91,91,Master of Arts Political Science,PG,Social Sciences,Bachelor's Degree in any discipline with at least 45% marks (42.75% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only),"This program delves into political theory, international relations, and public policy, providing a comprehensive understanding of governance and politics.","['Critical thinking', 'Policy analysis', 'Research skills']","['Political analyst', 'Public sector officer', 'Non-profit manager']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
92,92,Master of Arts Public Admisnistration,PG,Management,Bachelor's Degree in any discipline with at least 45% marks (42.75% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only),"This program focuses on public administration principles, policy analysis, governance, and management techniques.","['Policy formulation', 'Leadership skills', 'Public sector management']","['Government officer', 'Non-profit manager', 'Consultant']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
93,93,Master of Arts Economics,PG,Commerce,"Bachelor's Degree in any discipline with at least 45% marks (42.75% for reserved categories) or equivalent examination recognized by M.D. University, Rohtak.","This program focuses on advanced economic theories and quantitative analysis, preparing students for research and professional roles in economics.","['Economic modeling', 'Statistical analysis', 'Policy evaluation']","['Economist', 'Financial analyst', 'Market researcher']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
94,94,Master of Arts History,PG,Humanities,Bachelor's Degree in any discipline with at least 45% marks (42.75% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only),"This program delves into historical analysis, cultural studies, and historiography, providing a comprehensive understanding of past events and their impacts.","['Historical research', 'Critical thinking', 'Cultural analysis']","['Archivist', 'Historian', 'Policy analyst']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
95,95,Bachelor of Computer Application (BCA),UG,ComputerScience,10+2 with at least 45% marks (42.75% for reserved categories) in aggregate from recognized boards.,"This program covers fundamental concepts in computer applications, software development, and information technology.","['Programming', 'Database management', 'Web development']","['Software developer', 'IT support specialist', 'Technical analyst']",min_degree_level='PreUG' min_marks_general=45.0 min_marks_reserved=42.75
96,96,Bachelor of Arts (English),UG,Humanities,"Senior Secondary Examination with at least 45% marks (42.75% for reserved categories) from Board of School Education Haryana, Bhiwani or equivalent.","This program focuses on the study of English literature, language, and culture, providing a broad understanding of literary traditions and critical analysis techniques.","['Critical thinking', 'Writing skills', 'Research methods']","['Editor', 'Content writer', 'English teacher']",min_degree_level='PreUG' min_marks_general=45.0 min_marks_reserved=42.75
97,97,Bachelor of Fine Arts (Painting),UG,FineArts,"Senior Secondary Examination with at least 45% marks (42.75% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only) from Board of School Education Haryana, Bhiwani or equivalent examination recognized by M.D. University Rohtak","This program focuses on developing skills in painting techniques, art history, and creative expression. Students explore various mediums and styles to enhance their artistic abilities.","['Artistic creation', 'Painting techniques', 'Creative thinking']","['Artist', 'Gallery curator', 'Art teacher']",min_degree_level='PreUG' min_marks_general=45.0 min_marks_reserved=42.75
98,98,Bachelor of Arts (Sanskrit),UG,Humanities,Senior Secondary Examination with at least 45% marks (42.75% for reserved categories) from the Board of School Education Haryana or equivalent.,"This program focuses on the study of Sanskrit language, literature, and culture, providing a deep understanding of ancient texts and linguistic structures.","['Language proficiency', 'Literary analysis', 'Cultural studies']","['Translator', 'Researcher', 'Teacher']",min_degree_level='PreUG' min_marks_general=45.0 min_marks_reserved=42.75
99,99,L.L.B. (Hons.) 5 year Integrated,PG,Law,Senior Secondary Examination with at least 45% marks (42.75% for reserved categories) from Bhiwani Board or equivalent.,"This program provides an integrated approach to legal education, covering fundamental and advanced legal principles, jurisprudence, and practical skills necessary for a career in law.","['Legal research', 'Case analysis', 'Drafting contracts']","['Lawyer', 'Legal consultant', 'Judicial officer']",min_degree_level='PreUG' min_marks_general=45.0 min_marks_reserved=42.75
100,100,Bachelor of Commerce,UG,Commerce,Senior Secondary Examination (10+2) with at least 45% marks (42.75% for reserved categories) in aggregate from recognized boards.,"This program covers core business subjects such as accounting, finance, marketing, and economics, providing a comprehensive understanding of commercial operations and management.","['Financial analysis', 'Market research', 'Business communication']","['Accountant', 'Marketing executive', 'Financial analyst']",min_degree_level='PreUG' min_marks_general=45.0 min_marks_reserved=42.75
101,101,Master of Hotel Management and Catering Technology 5-year Integrated,PG,Management,Senior secondary Examination (10+2) with at least 45% marks (42.75% for reserved categories) in aggregate from recognized boards.,"This program focuses on hospitality management and technology, providing a comprehensive understanding of hotel operations, customer service, and technological advancements in the industry.","['Hotel management', 'Catering techniques', 'Customer service', 'Project management']","['Hospitality manager', 'Event coordinator', 'Food and beverage specialist']",min_degree_level='PreUG' min_marks_general=45.0 min_marks_reserved=42.75
102,102,Bachelor of Hotel Management & Catering Technology 4 Year (BHMCT),UG,Management,"Senior Secondary Examination (10+2) with at least 45% marks (42.75% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only) from Board of School Education Haryana, Bhiwani or any other examination recognized by University, Rohtak as equivalent thereto.","This program focuses on hospitality management, culinary arts, and technology in the food service industry. Students learn about hotel operations, customer service, and technological advancements relevant to the sector.","['Customer service', 'Culinary techniques', 'Event planning']","['Hotel manager', 'Restaurant owner', 'Event coordinator']",min_degree_level='PreUG' min_marks_general=45.0 min_marks_reserved=42.75
103,103,Bachelor of Tourism & Travel Management,UG,Management,"Senior Secondary Examination (10+2) with at least 45% marks (42.75% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only) from Board of School Education Haryana, Bhiwani or any other examination recognized by M.D. University, Rohtak as equivalent thereto.","This program focuses on the management aspects of tourism and travel, covering areas such as hospitality services, marketing strategies, and destination development.","['Customer service', 'Event planning', 'Marketing analysis']","['Tourism manager', 'Travel consultant', 'Hospitality executive']",min_degree_level='PreUG' min_marks_general=45.0 min_marks_reserved=42.75
104,104,Bachelor of Business Administration (BBA),UG,Commerce,Senior Secondary Examination with at least 50% marks in aggregate (47.5% for reserved categories) from recognized boards.,"This program covers core business areas including finance, marketing, management, and economics to provide a comprehensive understanding of business operations and strategies.","['Business strategy', 'Financial analysis', 'Marketing principles', 'Project management']","['Business analyst', 'Sales manager', 'Finance officer', 'Human resources specialist']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
105,105,Bachelor of Science (Maths),UG,Science,Senior Secondary Examination with Maths and at least 50% marks (47.50% for reserved categories) from BSE Haryana or equivalent.,"This program covers fundamental mathematical concepts, theories, and applications, preparing students for advanced studies or careers in various scientific fields.","['Problem solving', 'Analytical thinking', 'Quantitative analysis']","['Mathematician', 'Actuary', 'Data analyst']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
106,106,Bachelor of Science (Statistics),UG,Science,Senior Secondary Examination with Mathematics and at least 50% marks (47.50% for reserved categories) from BSE Haryana or equivalent,"This program focuses on statistical theory, data analysis, probability, and applications in various fields such as economics, biology, and social sciences.","['Statistical analysis', 'Probability theory', 'Data interpretation']","['Statistician', 'Data analyst', 'Research scientist']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
107,107,Bachelor of Arts (History),UG,Humanities,"10+2 with at least 50% marks (47.5% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only) from Board of School Education Haryana, Bhiwani or equivalent.","This program explores historical events, societies, and cultures, providing a deep understanding of past civilizations and their impact on the present.","['Historical analysis', 'Critical thinking', 'Research skills']","['Archivist', 'Museum curator', 'Secondary school teacher']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
108,108,Bachelor of Arts (Economics),UG,Commerce,Senior Secondary Examination with at least 45% marks (42.75% for reserved categories) in aggregate from recognized boards.,"This program covers fundamental economic theories, statistical analysis, and policy studies to provide a comprehensive understanding of the economy and its functions.","['Economic analysis', 'Statistical methods', 'Policy evaluation']","['Economist', 'Financial analyst', 'Market researcher']",min_degree_level='PreUG' min_marks_general=45.0 min_marks_reserved=42.75
109,109,Bachelor of Arts (Public Administration),UG,Social Sciences,"Senior Secondary Examination with at least 45% marks (42.75% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only) from Board of School Education Haryana, Bhiwani or equivalent examination recognized by M.D. University Rohtak","This program focuses on public policy, administration, governance, and social welfare. Students learn about the functioning of government institutions and non-profit organizations.","['Policy analysis', 'Administrative skills', 'Public management']","['Government officer', 'Nonprofit manager', 'Community organizer']",min_degree_level='PreUG' min_marks_general=45.0 min_marks_reserved=42.75
110,110,Bachelor in Public Health,UG,Health Sciences,"NEET qualified with Physics, Chemistry, Biology/Biotechnology, and English; minimum aggregate of 50% in Physics, Chemistry, and Biology/Biotechnology; age 17 by admission or before December 31st of the joining year.","This program focuses on public health principles, epidemiology, health policy, and community health interventions. Students learn to address health issues at a population level through prevention and promotion strategies.","['Health assessment', 'Epidemiological methods', 'Public policy analysis']","['Public health officer', 'Community health worker', 'Health educator']",min_degree_level=None min_marks_general=None min_marks_reserved=None
111,111,Bachelor of Science (Genetics),UG,Science,"10+2 with Biology, Physics and Chemistry, at least 60% marks (57% for reserved categories) from Board of School Education Haryana or equivalent.","This program focuses on the study of genetic principles and their applications in biology. Students explore molecular genetics, genomics, and biotechnology to understand heredity and variation among organisms.","['Genetic analysis', 'Molecular biology', 'Biostatistics']","['Research scientist', 'Genetic counselor', 'Biotechnologist']",min_degree_level='PreUG' min_marks_general=60.0 min_marks_reserved=57.0
112,112,Bachelor of Business Administration,UG,Management,Senior Secondary Examination (10+2) with at least 50% marks (47.50% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only),"This program covers core business areas including finance, marketing, human resources, and operations management, providing a comprehensive understanding of organizational functions.","['Business strategy', 'Financial analysis', 'Marketing principles', 'Project management']","['Management consultant', 'Sales executive', 'Human resources manager', 'Finance officer']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
113,113,L.L.B. (Hons.) 5 year Integrated,PG,Law,"Senior Secondary Examination with at least 45% marks (42.75% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only) from Board of School Education Haryana, Bhiwani or any other examination recognized by M.D. University Rohtak as equivalent thereto","This program provides an integrated law degree focusing on legal theory, jurisprudence, and practical skills essential for a career in law.","['Legal research', 'Case analysis', 'Court procedures']","['Lawyer', 'Legal advisor', 'Judicial officer']",min_degree_level='PreUG' min_marks_general=45.0 min_marks_reserved=42.75
