program_name,program_level,domain,eligibility,description,mode,duration,skills_learned,career_outcomes,min_degree_level,min_marks_general,min_marks_reserved,required_subjects
Certificate Course in Leadership and Management Skills,UG,Management,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,This program focuses on developing essential leadership and management competencies. It covers the foundational principles required for effective organizational leadership and administrative skills.,Regular,6 Months,"['Leadership skills', 'Management principles', 'Organizational skills']","['Team leader', 'Supervisor', 'Administrative assistant']",PreUG,50.0,,[]
Certificate Course in Universal Human Values,PG,Humanities,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,This program focuses on the study of universal human values and their implications for individual and societal well-being. It explores philosophical and ethical concepts related to human relationships and coexistence. The course aims to develop an understanding of human values from a holistic perspective.,Regular,6 Months,"['Value assessment', 'Ethical reasoning', 'Self-awareness']","['Values counselor', 'Life coach', 'Ethical consultant']",UG,50.0,,[]
Certificate Course in 3D-Printing and Design,PreUG,Engineering,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,"This program focuses on the principles and practical applications of three-dimensional printing technologies. It covers the design, fabrication, and digital modeling aspects of additive manufacturing.",Regular,6 Months,"['3D modeling', 'Additive manufacturing', 'Design principles']","['3D Designer', 'CAD Technician', 'Prototyping Specialist']",PreUG,50.0,,[]
Certificate Course in MATLAB,PreUG,Science,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,This course focuses on foundational concepts and practical application of the MATLAB programming environment. It introduces students to computational methods and problem-solving techniques using MATLAB tools.,Regular,6 Months,"['Programming skills', 'Mathematical computation', 'Software application', 'Problem solving']","['MATLAB programmer', 'Data analyst', 'Technical assistant', 'Software developer']",PreUG,50.0,,[]
Certificate Course in AI and ML in Pharmaceutical Sciences,PG,Science,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,"This program focuses on applying Artificial Intelligence and Machine Learning techniques within the context of pharmaceutical sciences. It covers the integration of computational methods to solve complex problems in drug discovery, development, and pharmaceutical research. The curriculum emphasizes the intersection of data science and pharmaceutical knowledge.",Regular,6 Months,"['AI application', 'ML modeling', 'Pharmaceutical data analysis', 'Computational methods']","['AI pharmaceutical analyst', 'ML drug discovery specialist', 'Pharmaceutical data scientist', 'Bioinformatics researcher']",UG,50.0,,[]
Certificate Course in Personal and Social Health Management,UG,Humanities,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,This program focuses on the principles and practices related to personal and social health management. It covers the knowledge areas necessary for understanding and managing individual and community well-being.,Regular,6 Months,"['Health management', 'Social awareness', 'Personal well-being']","['Health educator', 'Wellness consultant', 'Social worker']",PreUG,50.0,,[]
PG Diploma in Drug Regulatory Affairs,PG,Science,Requires a Bachelor's Degree in Pharmacy with at least 45% aggregate marks.,"This program focuses on the regulatory aspects of pharmaceutical products. It covers the legal, administrative, and quality control frameworks governing drug approval and marketing.",Regular,1 year,"['Regulatory compliance', 'Documentation management', 'Quality assurance', 'Policy analysis']","['Regulatory affairs officer', 'Drug approval specialist', 'Quality control manager', 'Pharmaceutical consultant']",UG,45.0,45.0,[]
Certificate Course in Natural Products for Human Health,UG,Science,Requires a Bachelor's Degree in any discipline with at least 45% aggregate marks.,This course focuses on the study of natural products and their application in human health. It covers the knowledge areas related to the biological and pharmacological aspects of these substances. The program aims to provide foundational knowledge in natural health sciences.,Regular,6 Months,"['Natural product knowledge', 'Health assessment', 'Basic pharmacology']","['Natural product research assistant', 'Health wellness consultant', 'Ayurvedic practitioner']",PreUG,45.0,,[]
Certificate Course in Hospital Food Services and Dietetics,Cert,Management,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,This program focuses on the principles and practices of food services and dietetics within a hospital setting. It covers the nutritional requirements and management of food services for patients.,Regular,6 Months,"['Food service management', 'Dietary planning', 'Nutritional assessment']","['Dietetic assistant', 'Food service supervisor', 'Hospital nutrition technician']",PreUG,50.0,,[]
Certificate Course on Food Truck Operations,PreUG,Management,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,"This course focuses on the practical operations and management aspects of operating a food truck. It covers the necessary skills for setting up, managing, and running a mobile food service business.",Regular,6 Months,"['Business management', 'Food service operations', 'Operational planning']","['Food truck operator', 'Mobile catering manager', 'Food business owner']",PreUG,50.0,,[]
PG Diploma in Cyber Law,PG,Law,"Requires a Bachelor's or Master's degree with at least 45% marks in aggregate or equivalent examination recognized by MDU, Rohtak.","This program focuses on the legal aspects of cyber activities and digital law. It covers the legal frameworks, regulations, and implications related to cyberspace and digital governance. The curriculum aims to equip students with knowledge of cyber law principles and practices.",Regular,1 year,"['Legal analysis', 'Cyber regulation', 'Digital governance']","['Cyber law consultant', 'Legal compliance officer', 'Data privacy lawyer']",UG,45.0,,[]
PG Diploma in Labour Law & Social Welfare,PG,Management,"Requires a Bachelor's or Master's Degree with at least 45% marks in aggregate or equivalent examination recognized by MDU, Rohtak.",This program focuses on the legal framework governing labour relations and social welfare policies. It covers the legal and administrative aspects of employee rights and social security systems.,Regular,1 year,"['Legal analysis', 'Policy understanding', 'Social welfare management']","['Labour law officer', 'Social welfare administrator', 'HR compliance specialist']",UG,45.0,,"['Law', 'Social Welfare', 'Law and Social Welfare']"
B.A. B.Ed.,UG,Humanities,Applicants must have passed Grade 12 with at least 50% marks in aggregate or equivalent examination.,This program focuses on the foundational knowledge of various academic subjects and pedagogical principles. It aims to develop candidates with both subject matter expertise and teaching competencies.,Regular,4 year,"['Curriculum design', 'Pedagogical skills', 'Subject knowledge']","['Teacher', 'Educator', 'Trainer']",PreUG,50.0,,[]
B.Com. B.Ed.,UG,Commerce,Applicants must have passed Grade 12 with at least 50% marks in aggregate or equivalent examination.,This program integrates commerce and education. It focuses on developing knowledge in both business and pedagogical skills. The curriculum aims to prepare students for roles requiring both business understanding and teaching competencies.,Regular,5 year,"['Business knowledge', 'Pedagogical skills', 'Curriculum design', 'Educational planning']","['School teacher', 'Educator', 'Academic administrator', 'Business administrator']",PreUG,50.0,,[]
Master of Arts Sanskrit,PG,Humanities,Requires a Bachelor's degree with Sanskrit or eligibility through the Shastri Examination.,"This program focuses on the study of Sanskrit literature, language, and culture. It involves in-depth exploration of classical texts, linguistic structures, and cultural history.",Open and Distance Learning Mode,2 year,"['Language proficiency', 'Textual analysis', 'Cultural understanding']","['Sanskrit teaching', 'Linguistics research', 'Cultural studies']",UG,,,"['Sanskrit', 'Shastri Examination', 'Master of Arts']"
Master of Arts English,PG,Humanities,"Requires a Bachelor's Degree in any discipline with at least 45% aggregate marks or equivalent examination recognized by M.D. University, Rohtak.","This program focuses on the study of English literature, language, and literary theory. It involves in-depth analysis of texts, critical reading, and advanced linguistic skills. The curriculum aims to develop advanced literary and communication competencies.",Open and Distance Learning Mode,2 year,"['Literary analysis', 'Critical reading', 'Language proficiency', 'Textual interpretation']","['English teacher', 'Content writer', 'Translator', 'Editor']",UG,45.0,,[]
Master of Arts Journalism & Mass Communication,PG,Humanities,Requires a Bachelor's Degree in any discipline with at least 45% aggregate marks.,This program focuses on the study of journalism and mass communication principles. It covers the theoretical foundations and practical applications of media and communication practices. The curriculum aims to develop critical understanding of communication processes and media functions.,Open and Distance Learning Mode,2 year,"['Media analysis', 'Communication theory', 'Content creation', 'Research skills']","['Journalist', 'Media producer', 'Communication specialist', 'Content writer']",UG,45.0,,[]
Master of Science (Mathematics),PG,Science,Requires a Bachelor's degree in Mathematics or a related subject with at least 50% marks.,"This program focuses on advanced mathematical concepts and theoretical foundations. It involves in-depth study of mathematical theories, problem-solving techniques, and advanced analytical methods.",Open and Distance Learning Mode,2 year,"['Mathematical reasoning', 'Advanced problem-solving', 'Theoretical analysis']","['Mathematical analyst', 'Quantitative researcher', 'Data scientist']",UG,50.0,,"['Mathematics', 'Science']"
Master of Library and Information Science,PG,Humanities,Bachelor's degree in any discipline from any UGC-recognized University with at least 45% marks,"This program focuses on the principles, theories, and practices of library and information science. It covers the organization, management, and dissemination of information resources and knowledge systems. The curriculum emphasizes information organization, retrieval, and communication strategies.",Open and Distance Learning Mode,2 year,"['Information organization', 'Resource management', 'Information retrieval', 'Data management']","['Librarian', 'Information manager', 'Archivist', 'Library administrator']",UG,45.0,,[]
Master of Commerce (M.Com.),PG,Commerce,Requires a Bachelor's degree in relevant subjects with a minimum of 45% aggregate marks.,"This program focuses on advanced study in commerce, encompassing financial accounting, taxation, economics, and business management principles. It develops analytical skills necessary for understanding complex business environments and economic systems.",Open and Distance Learning Mode,2 year,"['Financial accounting', 'Economic analysis', 'Business management', 'Data interpretation']","['Accountant', 'Financial analyst', 'Business administrator', 'Management consultant']",UG,45.0,,"['Commerce', 'subjects']"
Master of Science (Mathematics),PG,Science,Requires a Bachelor's degree in Mathematics or a related subject with at least 50% marks.,"This program focuses on advanced mathematical concepts and theoretical foundations. It involves in-depth study of mathematical theories, problem-solving techniques, and advanced analytical methods.",Open and Distance Learning Mode,2 year,"['Mathematical reasoning', 'Abstract problem-solving', 'Advanced analysis']","['Mathematical analyst', 'Quantitative researcher', 'Data scientist']",UG,50.0,,"['Mathematics', 'Mathematics', 'Mathematics', 'Mathematics', 'Mathematics', 'Mathematics', 'Mathematics']"
Bachelor of Arts,UG,Humanities,Must have passed a relevant examination with at least 33% aggregate marks for admission.,"This program focuses on the study of humanities disciplines. It involves exploring various aspects of human culture, society, and thought. The curriculum aims to develop critical thinking and broad knowledge.",Open and Distance Learning Mode,3 year,"['Critical thinking', 'Communication skills', 'Research skills']","['Academic researcher', 'Content writer', 'Administrative assistant', 'Public relations specialist']",PreUG,33.0,,[]
Master of Arts Hindi,PG,Humanities,"Bachelor's Degree in any discipline with at least 45% aggregate marks or equivalent examination recognized by M.D. University, Rohtak.","This program focuses on the study of Hindi literature, language, and culture. It involves in-depth exploration of linguistic structures, literary history, and cultural contexts related to the Hindi language.",Open and Distance Learning Mode,2 year,"['Language proficiency', 'Literary analysis', 'Cultural understanding']","['Language instructor', 'Content writer', 'Translator', 'Academic researcher']",UG,45.0,,[]
Master of Arts Political Science,PG,Humanities,"Requires a Bachelor's Degree in any discipline with at least 45% aggregate marks or equivalent examination recognized by M.D. University, Rohtak.","This program focuses on the theoretical and analytical study of political systems, governance, and public policy. It involves in-depth exploration of political theory, international relations, and comparative politics.",Open and Distance Learning Mode,2 year,"['Political analysis', 'Theoretical understanding', 'Research skills']","['Policy analyst', 'Political researcher', 'Public administration officer']",UG,45.0,,"['Political Science', 'any', 'course']"
Master of Arts Public Administration,PG,Management,Requires a Bachelor's Degree in any discipline with at least 45% aggregate marks or equivalent examination recognition.,"This program focuses on the administrative principles, policies, and practices related to public administration. It covers the theoretical foundations and practical applications of governance and public service management.",Open and Distance Learning Mode,2 year,"['Policy analysis', 'Administrative theory', 'Public governance', 'Research skills']","['Public administrator', 'Policy analyst', 'Administrative officer', 'Public sector manager']",UG,45.0,45.0,[]
Master of Arts Economics,PG,Commerce,"Requires a Bachelor's Degree in any discipline with at least 45% aggregate marks or equivalent examination recognized by M.D. University, Rohtak.","This program focuses on the theoretical and applied aspects of economic principles. It involves in-depth study of economic theories, policies, and analytical methods.",Open and Distance Learning Mode,2 year,"['Economic theory', 'Data analysis', 'Policy evaluation', 'Analytical thinking']","['Economic analyst', 'Policy researcher', 'Financial consultant', 'Economist']",UG,45.0,,[]
Master of Arts History,PG,Humanities,Requires a Bachelor's Degree in any discipline with at least 45% aggregate marks or an equivalent recognized examination.,"This program focuses on the study of historical subjects, critical analysis of past events, and the interpretation of historical sources. It involves developing advanced knowledge in historical methodologies and contextual understanding.",Open and Distance Learning Mode,2 year,"['Historical analysis', 'Source interpretation', 'Critical thinking', 'Research skills']","['Historian', 'Archivist', 'Academic researcher', 'Curator']",UG,45.0,45.0,[]
Bachelor of Computer Application (BCA),UG,Engineering,Requires Senior Secondary Examination (10+2) with at least 45% aggregate marks.,"This program focuses on the fundamentals of computer applications, programming, and software development principles. It covers theoretical concepts and practical skills necessary for understanding and implementing computational systems.",Regular,4 year,"['Programming logic', 'Software development', 'Data handling', 'Problem-solving']","['Software developer', 'Application analyst', 'Systems administrator', 'IT consultant']",PreUG,45.0,45.0,"['ANY', 'Computer Application', 'Computer Science']"
Bachelor of Arts (English),UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 45% aggregate marks.,"This program focuses on the study of English language, literature, and language studies. It involves developing critical reading, writing, and analytical skills within the humanities discipline. The curriculum aims to foster a deep understanding of linguistic structures and literary traditions.",Regular,4 year,"['Language analysis', 'Critical reading', 'Written communication', 'Literary interpretation']","['English teacher', 'Content writer', 'Editor', 'Translator']",PreUG,45.0,45.0,[]
Bachelor of Fine Arts (Painting),UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 45% aggregate marks.,"This program focuses on the artistic principles, techniques, and history of painting. It develops creative expression and visual literacy through various artistic disciplines. The curriculum emphasizes aesthetic understanding and creative practice.",Regular,4 year,"['Artistic expression', 'Visual literacy', 'Creative practice']","['Fine artist', 'Art educator', 'Art therapist']",PreUG,45.0,45.0,[]
Bachelor of Arts (Sanskrit),UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 45% aggregate marks.,"This program focuses on the study of Sanskrit literature, language, and culture. It involves in-depth exploration of classical texts, linguistic structures, and historical context of the Sanskrit tradition.",Regular,4 year,"['Language proficiency', 'Textual analysis', 'Cultural understanding']","['Sanskrit teaching', 'Linguistics research', 'Cultural studies']",PreUG,45.0,45.0,"['Sanskrit', 'Arts']"
L.L.B. (Hons.) 5 year Integrated,UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 45% marks.,"This program provides an integrated study of law and related subjects. It focuses on foundational legal principles, legal reasoning, and the structure of the legal system. The curriculum covers core legal disciplines necessary for legal practice and scholarship.",Regular,5 year,"['Legal reasoning', 'Analytical thinking', 'Research skills', 'Contract interpretation']","['Legal practitioner', 'Advocate', 'Legal researcher', 'Paralegal']",PreUG,45.0,45.0,[]
Bachelor of Commerce,UG,Commerce,Requires Senior Secondary Examination (10+2) with at least 45% aggregate marks.,"This program focuses on the foundational principles of business, economics, and finance. It covers core concepts necessary for understanding commercial operations and market dynamics.",Regular,4 year,"['Business fundamentals', 'Financial accounting', 'Economic principles']","['Accountant', 'Financial analyst', 'Business administrator']",PreUG,45.0,45.0,[]
Master of Hotel Management and Catering Technology 5-year Integrated,PG,Management,Requires Senior secondary examination (10+2) with at least 45% aggregate marks.,"This program focuses on the management and technical aspects of hospitality and catering services. It provides comprehensive training in the operational, administrative, and technological domains of the hotel and catering industry.",Regular,5 year,"['Hospitality management', 'Catering technology', 'Business administration', 'Service operations']","['Hotel management', 'Catering operations', 'Hospitality administration', 'Food service management']",UG,,45.0,[]
Bachelor of Hotel Management & Catering Technology 4 Year (BHMCT),UG,Management,Requires Senior Secondary Examination (10+2) with at least 45% marks.,"This program focuses on the principles and practices of hotel and catering management. It covers the operational, administrative, and service aspects required to manage hospitality establishments effectively. The curriculum emphasizes practical skills in food and beverage service and hospitality operations.",Regular,4 year,"['Hospitality operations', 'Service management', 'Food and beverage handling', 'Administrative skills']","['Hotel management', 'Catering operations', 'Food service supervision', 'Hospitality administration']",PreUG,45.0,45.0,[]
Bachelor of Tourism & Travel Management,UG,Management,Requires Senior Secondary Examination (10+2) with at least 45% marks.,"This program focuses on the principles and practices of tourism and travel management. It covers the administration, planning, and marketing aspects of the travel and tourism industry. The curriculum emphasizes the management of travel services and destinations.",Regular,4 year,"['Travel planning', 'Tourism marketing', 'Service management', 'Destination analysis']","['Travel agent', 'Tourism planner', 'Hospitality manager', 'Tour operator']",PreUG,45.0,45.0,[]
Bachelor of Business Administration (BBA),UG,Management,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the fundamental principles and practices of business administration. It covers core areas such as management, economics, accounting, and organizational behavior. The curriculum aims to develop comprehensive business acumen and analytical skills.",Regular,4 year,"['Business analysis', 'Financial accounting', 'Organizational behavior', 'Economic principles']","['Business administrator', 'Management trainee', 'Marketing executive', 'Financial analyst']",PreUG,50.0,,[]
Bachelor of Science (Maths),UG,Science,Candidates must have passed the Senior Secondary Examination (10+2) with Mathematics as a subject and at least 50% marks.,"This program focuses on the study of mathematical principles, theoretical foundations, and quantitative methods. It develops analytical skills necessary for understanding complex mathematical concepts and problem-solving in various fields.",Regular,4 year,"['Mathematical reasoning', 'Quantitative analysis', 'Problem-solving', 'Abstract thinking']","['Mathematics teacher', 'Data analyst', 'Actuarial science', 'Research assistant']",PreUG,50.0,,"['Mathematics', 'Science']"
Bachelor of Science (Statistics),UG,Science,Requires Senior Secondary Examination (10+2) with Mathematics as a subject and at least 50% aggregate marks.,This program focuses on the principles and methods of statistical theory and application. It involves studying mathematical foundations necessary for data analysis and inference. The curriculum covers the theoretical and practical aspects of statistical modeling and data interpretation.,Regular,4 year,"['Mathematical reasoning', 'Data interpretation', 'Statistical modeling', 'Quantitative analysis']","['Data analyst', 'Statistician', 'Research assistant', 'Data scientist']",PreUG,50.0,,"['Mathematics', 'Statistics', 'Science']"
Bachelor of Arts (History),UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the study of historical events, societies, and cultures. It involves critical analysis of primary and secondary sources to understand the evolution of human history and social structures. The curriculum emphasizes historical interpretation and contextual understanding.",Regular,4 year,"['Historical analysis', 'Source evaluation', 'Critical thinking', 'Research skills']","['Historian', 'Archivist', 'Curriculum developer', 'Academic researcher']",PreUG,50.0,,[]
Bachelor of Arts (Economics),UG,Commerce,Requires Senior Secondary Examination (10+2) with at least 45% aggregate marks.,"This program focuses on the study of economic principles, theories, and methods. It involves analyzing economic systems, markets, and policy implications across various sectors. The curriculum develops critical thinking and analytical skills related to economic phenomena.",Regular,4 year,"['Economic analysis', 'Quantitative reasoning', 'Data interpretation', 'Critical thinking']","['Economist', 'Financial analyst', 'Policy advisor', 'Business consultant']",PreUG,45.0,45.0,[]
Bachelor of Arts (Public Administration),UG,Management,Requires Senior Secondary Examination (10+2) with at least 45% aggregate marks.,"This program focuses on the study of public administration, encompassing the principles, policies, and practices of governance. It involves analyzing the structure, function, and operation of public sector organizations and administrative systems. The curriculum develops critical thinking skills related to public policy and administration.",Regular,4 year,"['Policy analysis', 'Administrative principles', 'Public sector management', 'Critical thinking']","['Public administrator', 'Government official', 'Policy analyst', 'Administrative officer']",PreUG,45.0,45.0,[]
Bachelor in Public Health,UG,Science,"Applicants must have passed Physics, Chemistry, Biology/Biotechnology, and English, with a minimum aggregate of 50% in Physics, Chemistry, and Biology/Biotechnology, and a valid NEET qualified score.","This program focuses on the study of population health, disease prevention, and health services. It involves understanding the social, environmental, and biological determinants of health across different populations. The curriculum covers public health principles and applied health sciences.",Regular,4 year,"['Health assessment', 'Data interpretation', 'Public policy', 'Epidemiology']","['Public health officer', 'Health administrator', 'Medical researcher', 'Health educator']",PreUG,50.0,,"['Physics', 'Chemistry', 'Biology/Biotechnology', 'English', 'NEET', 'Public Health']"
Bachelor of Science (Genetics),UG,Science,"Requires Senior Secondary Examination (10+2) with Biology, Physics, and Chemistry, and at least 60% aggregate marks.","This program focuses on the study of genetics, exploring the principles of heredity and variation in living organisms. It involves understanding the molecular basis of biological processes and the mechanisms governing genetic inheritance.",Regular,4 year,"['Biological principles', 'Experimental design', 'Data interpretation', 'Molecular biology']","['Biotechnology research', 'Genetic counseling', 'Pharmaceutical research', 'Agricultural science']",PreUG,60.0,,"['Biology', 'Physics', 'Chemistry', 'Genetics', 'Science']"
Bachelor of Business Administration,UG,Management,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the principles and practices of business administration. It covers core concepts in management, finance, marketing, and organizational behavior. The curriculum aims to develop comprehensive business acumen for professional roles.",Regular,4 year,"['Business principles', 'Financial literacy', 'Organizational skills', 'Communication skills']","['Business administrator', 'Management consultant', 'Marketing executive', 'Financial analyst']",PreUG,50.0,,[]
L.L.B. ( Hons.) 5 year Integrated,UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 45% marks.,"This program focuses on the study of law and legal principles. It provides a comprehensive foundation in legal theory, statutes, and legal reasoning. The curriculum covers various branches of law to prepare students for legal practice.",Regular,5 year,"['Legal reasoning', 'Statutory interpretation', 'Legal research']","['Advocate', 'Legal counsel', 'Paralegal specialist']",PreUG,45.0,45.0,[]
Bachelor of Fine Arts (Painting),UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the artistic principles, techniques, and history of visual arts, with a specific emphasis on painting. Students develop critical thinking and creative expression through various artistic disciplines.",Regular,4 year,"['Artistic expression', 'Visual analysis', 'Creative design']","['Fine artist', 'Art educator', 'Visual communicator']",PreUG,50.0,,[]
B.A. (JOURNALISM & MASS COMMUNICATION),UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the study of journalism and mass communication principles. It involves understanding the theories, practices, and ethics related to media, communication, and public discourse. The curriculum covers various aspects of information dissemination and communication strategies.",Regular,4 year,"['Media literacy', 'Communication skills', 'Information gathering', 'Content creation']","['Journalist', 'Mass communicator', 'Media producer', 'Public relations specialist']",PreUG,50.0,,[]
B.A.(HONS.)HINDI,UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the study of Hindi literature, language, and culture. It involves in-depth analysis of linguistic structures, literary traditions, and cultural contexts related to the Hindi language.",Regular,4 year,"['Language proficiency', 'Literary analysis', 'Cultural understanding']","['Linguist', 'Translator', 'Content writer']",PreUG,50.0,,[]
Bachelor of Arts (Multidisciplinary),UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on a multidisciplinary approach, integrating knowledge from various academic disciplines. It aims to develop broad intellectual skills and critical thinking across diverse subject areas.",Regular,4 year,"['Critical thinking', 'Interdisciplinary study', 'Communication skills']","['Generalist roles', 'Educational roles', 'Administrative positions']",PreUG,50.0,,[]
B.A.(HONS.)GEOGRAPHY,UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the study of geographical principles, spatial relationships, and the physical and human geography of the world. It involves understanding the spatial organization of the Earth and the interactions between physical environments and human societies.",Regular,4 year,"['Geographical analysis', 'Spatial reasoning', 'Data interpretation']","['Geographer', 'GIS analyst', 'Research assistant']",PreUG,50.0,,"['geography', 'Geography']"
B.A.(HONS.)POLITICAL SCIENCE,UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 50% marks.,"This program focuses on the study of political theory, governance, public administration, and political systems. It involves analyzing political structures, ideologies, and the dynamics of political behavior.",Regular,4 year,"['Critical thinking', 'Analytical skills', 'Research methods']","['Civil services officer', 'Political analyst', 'Public administrator']",PreUG,50.0,,[]
B.A.(HONS.)PSYCHOLOGY,UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the study of psychological principles, theories, and research methods. It involves an in-depth exploration of the mind, behavior, and mental processes. The curriculum covers various facets of human psychology and its applications.",Regular,4 year,"['Critical thinking', 'Research skills', 'Data interpretation', 'Analytical reasoning']","['Psychological counselor', 'Educational consultant', 'HR specialist', 'Market researcher']",PreUG,50.0,,[]
B.LIB (SEMESTER),UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the study of literature, language, and communication. It involves in-depth analysis of texts, literary history, and critical interpretation of various forms of communication.",Regular,4 year,"['Text analysis', 'Critical reading', 'Language proficiency']","['Librarian', 'Content writer', 'Archivist', 'Editor']",PreUG,50.0,,[]
BACHELOR IN SOCIAL WORK (BSW),UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the study of social systems, human behavior, and social problems. It involves understanding social structures, policies, and interventions to address societal challenges.",Regular,4 year,"['Social analysis', 'Policy evaluation', 'Intervention planning', 'Communication skills']","['Social worker', 'Counselor', 'NGO administrator', 'Social policy analyst']",PreUG,50.0,,[]
Bachelor in Sociology,UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 50% marks.,"This program focuses on the study of human society, social structures, social interaction, and cultural phenomena. It involves analyzing social patterns, institutions, and the dynamics of human behavior across various contexts.",Regular,4 year,"['Social analysis', 'Research methods', 'Cultural understanding', 'Data interpretation']","['Sociologist', 'Social researcher', 'Community development officer', 'Policy analyst']",PreUG,50.0,,[]
Bachelor of Commerce 4-Year,UG,Commerce,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the foundational principles of commerce, including accounting, finance, economics, and business management. It provides students with a comprehensive understanding of the operational and theoretical aspects of business activities.",Regular,4 year,"['Accounting principles', 'Financial analysis', 'Business management', 'Economic theory']","['Accountant', 'Financial analyst', 'Business administrator', 'Auditor']",PreUG,50.0,,[]
B.SC B.ED (INTEGRATED COURSE),UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,This program integrates subjects from the fields of Social Sciences and Education. It focuses on developing pedagogical skills alongside subject matter expertise. The curriculum aims to prepare students for roles in education and related social science fields.,Regular,4 year,"['Curriculum design', 'Pedagogical skills', 'Social science knowledge']","['School teacher', 'Educator', 'Social science researcher']",PreUG,50.0,,[]
Bachelor of Physical Education and Sports Science (BPES),UG,Science,Requires Senior Secondary Examination (10+2) with at least 50% marks.,"This program focuses on the study of physical education, sports science, and the physiological aspects of human movement. It involves understanding the principles of physical training, sports psychology, and biomechanics.",Regular,4 year,"['Physical training', 'Sports physiology', 'Biomechanics', 'Health education']","['Physical education teacher', 'Sports coach', 'Fitness trainer', 'Sports administrator']",PreUG,50.0,,[]
Bachelor of Hotel Management & Catering Technology (BHM & CT),UG,Management,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the principles and practices of hospitality and catering services. It covers the management, operations, and technical aspects required for the hotel and catering industry. The curriculum emphasizes practical skills in service delivery and food and beverage management.",Regular,4 year,"['Hospitality management', 'Food service operations', 'Service quality control', 'Front office procedures']","['Hotel manager', 'Food and beverage supervisor', 'Restaurant manager', 'Hospitality consultant']",PreUG,50.0,,[]
Bachelor of Tourism & Travel Management (BTTM),UG,Management,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the principles and practices of tourism and travel management. It covers the organizational, economic, and social aspects of the travel and tourism industry. The curriculum aims to develop skills in managing travel services and destinations effectively.",Regular,4 year,"['Travel planning', 'Service management', 'Tourism economics', 'Destination marketing']","['Travel agent', 'Tourism planner', 'Hospitality manager', 'Tour operator']",PreUG,50.0,,[]
BACHELOR OF BUSINESS ADMINISTRATION (CAM),UG,Management,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the fundamental principles and practices of business administration. It covers core concepts in organizational management, finance, marketing, and economics.",Regular,4 year,"['Business principles', 'Financial literacy', 'Organizational management', 'Market analysis']","['Business administrator', 'Management trainee', 'Marketing executive', 'Financial analyst']",PreUG,50.0,,[]
Bachelor of Science (Life Sciences),UG,Science,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the study of biological systems, living organisms, and the fundamental principles governing life sciences. It involves in-depth exploration of various biological disciplines to develop analytical and critical thinking skills.",Regular,4 year,"['Biological analysis', 'Scientific inquiry', 'Data interpretation']","['Research assistant', 'Laboratory technician', 'Biotechnology analyst']",PreUG,50.0,,"['Life Sciences', 'Science']"
B.SC.(BIO-TECH),UG,Science,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"The program focuses on the foundational principles of biological and technological sciences. It covers core concepts in life sciences, biotechnology, and related analytical techniques. Students develop a strong base in biological systems and applied scientific methodologies.",Regular,4 year,"['Biological knowledge', 'Laboratory techniques', 'Data interpretation', 'Scientific analysis']","['Biotechnology analyst', 'Research assistant', 'Quality control technician', 'Laboratory technician']",PreUG,50.0,,"['Biotechnology', 'Science']"
